Id,Label,timeset,fonction,cluster,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,stat_inf_class
aves_aa_4R_auth_0136,"schanlit, claus",,personne,2.0,17,17,6,0.282776,0.321183,32100.225287,0
aves_aa_4R_auth_0137,"kraft, johanns",,personne,,3,3,8,0.221809,0.241079,315.890249,1
aves_aa_4R_auth_0138,"kindelin, mewus",,personne,,1,1,8,0.195347,0.210967,0,1
aves_aa_4R_auth_0139,"überhang, zum, hermann",,personne,,3,3,8,0.210535,0.232679,189.012838,1
aves_aa_4R_auth_0140,"meiger, johanns",,personne,,3,3,8,0.207051,0.230611,248.05766,2
aves_aa_4R_auth_0141,"hagenau, von, götze",,personne,4.0,4,4,8,0.226302,0.249982,2614.011581,9
aves_aa_4R_auth_0142,"lamb, heitz",,personne,,2,2,8,0.201709,0.221605,46.553661,1
aves_aa_4R_auth_0143,"seifenmacher, hug",,personne,,2,2,8,0.20857,0.228136,110.087038,1
aves_aa_4R_auth_0144,"grossstein, johanns",,personne,,1,1,8,0.195347,0.210967,0,1
aves_aa_4R_auth_0145,"stollhofen, hensel",,personne,,1,1,8,0.195347,0.210967,0,1
aves_aa_4R_auth_0146,"frei, johanns",,personne,,2,2,8,0.222124,0.239708,221.548066,1
aves_aa_4R_auth_0147,"gosse, peter",,personne,,1,1,8,0.195347,0.210967,0,1
aves_aa_4R_auth_0148,"dürningen, von, johanns",,personne,,2,2,8,0.201709,0.221605,46.553661,1
aves_aa_4R_auth_0149,"leimer, heinrich",,personne,,1,1,8,0.194799,0.210629,0,1
aves_aa_4R_auth_0150,"kücheler, peter",,personne,,3,3,8,0.214433,0.237119,311.573158,1
aves_aa_4R_auth_0151,"gast, ludwig",,personne,,1,1,8,0.194799,0.210629,0,1
aves_aa_4R_auth_0152,"schrotbanck, konrat",,personne,4.0,7,7,6,0.258578,0.28352,7585.143904,11
aves_aa_4R_auth_0153,"lumbart, johanns",,personne,,3,3,8,0.222124,0.242051,461.167772,1
aves_aa_4R_auth_0154,"oberkirch, von, claus",,personne,,2,2,8,0.220635,0.238347,448.328546,1
aves_aa_4R_auth_0155,"rhinau, ottemann",,personne,,2,2,8,0.211246,0.230418,113.752274,1
aves_aa_4R_auth_0156,"rotenschilt, zum, wolff",,personne,,1,1,8,0.194799,0.210629,0,1
aves_aa_4R_auth_0157,"walther, sankt-thoman",,personne,4.0,6,6,6,0.256247,0.276725,7522.332028,2
aves_aa_4R_auth_0158,"marlen, peter",,personne,,1,1,8,0.194799,0.210629,0,1
aves_aa_4R_auth_0159,"pfaffenhoffen, johanns, haffener",,personne,,2,2,8,0.199522,0.219675,92.38901,1
aves_aa_4R_auth_0160,"voltz, claus",,personne,,7,7,8,0.224919,0.258395,2112.554353,1
aves_aa_4R_auth_0161,"nordhausen, johanns",,personne,,1,1,8,0.194799,0.210629,0,1
aves_aa_4R_auth_0162,"colmar, von, bechtolt",,personne,,2,2,8,0.220014,0.237563,102.407913,1
aves_aa_4R_auth_0163,"werde, claus",,personne,,2,2,8,0.204078,0.224376,56.38056,2
aves_aa_4R_auth_0164,"beildeck, jeckel",,personne,,1,1,8,0.197319,0.213411,0,1
aves_aa_4R_auth_0165,"düpigheim, johanns",,personne,,1,1,8,0.197319,0.213411,0,1
aves_aa_4R_auth_0166,schweicker,,personne,,2,2,8,0.219705,0.236549,131.23329,1
aves_aa_4R_auth_0167,"bader, johanns, krutenau, in",,personne,,2,2,8,0.209197,0.228507,56.150815,1
aves_aa_4R_auth_0168,"dreitzehn, hug, der junge",,personne,,13,13,8,0.263147,0.301581,11035.340088,1
aves_aa_4R_auth_0169,"hohenhaus, zum, claus, steinstrasse, an der",,personne,,3,3,8,0.216736,0.239304,183.029612,1
aves_aa_4R_auth_0170,"herrhorn, zum, thoman",,personne,,1,1,8,0.202821,0.218858,0,1
aves_aa_4R_auth_0171,"mommenheim, von, johanns",,personne,,2,2,8,0.213992,0.233322,126.257073,2
aves_aa_4R_auth_0172,"seltz, von, johanns",,personne,,2,2,8,0.20857,0.228983,99.861708,1
aves_aa_4R_auth_0173,"armbruster, konrat, brantgasse, in",,personne,4.0,6,6,6,0.251003,0.274061,6272.822058,4
aves_aa_4R_auth_0174,"mahler, hermann",,personne,,1,1,8,0.202821,0.218858,0,1
aves_aa_4R_auth_0175,"bere, hensel",,personne,,1,1,8,0.202821,0.218858,0,1
aves_aa_4R_auth_0176,"hertzog, johanns",,personne,,1,1,8,0.202821,0.218858,0,1
aves_aa_4R_auth_0177,"gauch, johanns",,personne,,1,1,8,0.202821,0.218858,0,1
aves_aa_4R_auth_0178,"scherer, rudolff, rossmarkt, am",,personne,,3,3,8,0.217565,0.239903,213.034075,1
aves_aa_4R_auth_0179,"renner, diebolt",,personne,2.0,7,7,8,0.254268,0.279977,4470.036406,14
aves_aa_4R_auth_0180,"wachsmann, zum, fritsch",,personne,,1,1,8,0.202821,0.218858,0,1
aves_aa_4R_auth_0181,"dreitzehn, reimbolt",,personne,,1,1,8,0.202821,0.218858,0,1
aves_aa_4R_auth_0182,"burkhart, riffe",,personne,,1,1,8,0.202821,0.218858,0,1
aves_aa_4R_auth_0183,"martin, johanns",,personne,,2,2,10,0.194921,0.217294,96.223346,1
aves_aa_4R_auth_0184,"meister, heintz",,personne,,2,2,10,0.194921,0.217294,96.223346,1
aves_aa_4R_auth_0185,"zirtzer, ulrich",,personne,,4,4,8,0.237652,0.260138,1277.273509,1
aves_aa_4R_auth_0186,"bidermann, johanns, schwenner, zum",,personne,,2,2,8,0.212827,0.232269,157.253753,1
aves_aa_4R_auth_0187,"sturm, johanns",,personne,,1,1,10,0.186605,0.203761,0,1
aves_aa_4R_auth_0188,"villinger, peter",,personne,2.0,8,8,8,0.255724,0.283334,7201.686361,1
aves_aa_4R_auth_0189,"schwert, johanns",,personne,,1,1,10,0.186605,0.203761,0,1
aves_aa_4R_auth_0190,"wasselnheim, von, johanns",,personne,,2,2,8,0.203547,0.223838,70.05654,1
aves_aa_4R_auth_0191,"haslach von, peter",,personne,,2,2,10,0.194921,0.217294,96.223346,1
aves_aa_4R_auth_0192,"merckwiller, küntz",,personne,,1,1,10,0.186605,0.203761,0,1
aves_aa_4R_auth_0193,"frankenheim, ottemann",,personne,2.0,8,8,8,0.253959,0.282316,5866.351261,1
aves_aa_4R_auth_0194,"müntzer, burkhart",,personne,,2,2,8,0.217944,0.235797,366.76138,1
aves_aa_4R_auth_0195,"brüchelin, hansekint",,personne,,2,2,8,0.228869,0.24692,582.706029,1
aves_aa_4R_auth_0196,"flach, johanns",,personne,,2,2,10,0.194617,0.21698,78.437184,1
aves_aa_4R_auth_0197,"blumenstein, johanns",,personne,,2,2,8,0.230557,0.246398,527.152964,1
aves_aa_4R_auth_0198,"burkhart, heintz",,personne,,4,4,8,0.23874,0.260507,1891.930451,1
aves_aa_4R_auth_0199,"spitznagel, johanns",,personne,,1,1,10,0.186605,0.203761,0,1
aves_aa_4R_auth_0200,"wibolsheim, johanns",,personne,,1,1,10,0.186605,0.203761,0,1
aves_aa_4R_auth_0201,"hermann, jacob",,personne,,1,1,8,0.199649,0.216036,0,2
aves_aa_4R_auth_0202,"berse, johanns",,personne,,1,1,8,0.199649,0.216036,0,2
aves_aa_4R_auth_0203,"sprenger, claus",,personne,,3,3,8,0.240669,0.258541,723.444201,2
aves_aa_4R_auth_0204,"kacheler, anthenie",,personne,,1,1,8,0.199649,0.216036,0,2
aves_aa_4R_auth_0205,"armbruster, johanns",,personne,,1,1,8,0.199649,0.216036,0,2
aves_aa_4R_auth_0206,"kerb, johanns",,personne,,2,2,8,0.206777,0.227866,166.256444,2
aves_aa_4R_auth_0207,"kenen, zur, jeckel",,personne,,1,1,8,0.199649,0.216036,0,2
aves_aa_4R_auth_0208,"schmalriem, andres",,personne,4.0,5,5,8,0.241506,0.262808,3916.502495,2
aves_aa_4R_auth_0209,"zender, johanns",,personne,,1,1,8,0.199649,0.216036,0,2
aves_aa_4R_auth_0210,"mannertrieb, diebolt",,personne,,2,2,8,0.205082,0.225375,105.678274,2
aves_aa_4R_auth_0211,"mentzer, johanns",,personne,,2,2,8,0.213408,0.233423,219.804948,2
aves_aa_4R_auth_0212,"seiler, ruhlemann",,personne,,2,2,8,0.204278,0.224669,72.061031,2
aves_aa_4R_auth_0213,"tuchscherer, ottemann",,personne,,1,1,8,0.199649,0.216036,0,2
aves_aa_4R_auth_0214,"voltz,",,personne,,1,1,8,0.201839,0.217693,0,1
aves_aa_4R_auth_0215,"willgottheim, johanns",,personne,,2,2,8,0.2129,0.232732,226.786611,11
aves_aa_4R_auth_0216,"epfig, von, hannemann",,personne,,3,3,8,0.210819,0.233345,211.387566,1
aves_aa_4R_auth_0217,"meiger, claus",,personne,,2,2,8,0.205015,0.224715,62.638819,1
aves_aa_4R_auth_0218,"jeckelin, symont",,personne,,1,1,8,0.201839,0.217693,0,1
aves_aa_4R_auth_0219,"rawensburg, johanns",,personne,,1,1,8,0.201839,0.217693,0,1
aves_aa_4R_auth_0220,"kriegsheim, von, johanns, stacheler",,personne,,2,2,8,0.223154,0.239853,179.519307,1
aves_aa_4R_auth_0221,"brüchelin, claus, der junge",,personne,,1,1,8,0.201839,0.217693,0,1
aves_aa_4R_auth_0222,"saltzmütter, dietrich",,personne,4.0,7,7,6,0.259544,0.283347,5789.332182,8
aves_aa_4R_auth_0223,"wurant, rudolff",,personne,,1,1,8,0.201839,0.217693,0,1
aves_aa_4R_auth_0224,"lampertheim, von, peter",,personne,0.0,3,3,8,0.209057,0.226675,759.386988,4
aves_aa_4R_auth_0225,"brucker, peter",,personne,4.0,4,4,8,0.239288,0.257989,2609.549758,14
aves_aa_4R_auth_0226,"nussmann, peter",,personne,,1,1,10,0.188064,0.205482,0,1
aves_aa_4R_auth_0227,"heimburg, küntz",,personne,,1,1,10,0.188064,0.205482,0,1
aves_aa_4R_auth_0228,"gerbot, claus",,personne,,4,4,8,0.222598,0.248616,907.751723,1
aves_aa_4R_auth_0229,"dannenfels, johanns",,personne,,1,1,10,0.188064,0.205482,0,1
aves_aa_4R_auth_0230,"stoltz, peter",,personne,,4,4,8,0.24405,0.263923,1518.475837,1
aves_aa_4R_auth_0231,"spirer, claus",,personne,,4,4,8,0.222995,0.248302,628.17862,1
aves_aa_4R_auth_0232,"kenen, zur, jacob",,personne,,7,7,8,0.250701,0.27658,3300.09778,1
aves_aa_4R_auth_0233,"harnescher, blesin",,personne,,3,3,8,0.224354,0.246634,767.891761,9
aves_aa_4R_auth_0234,"bock, ludwig",,personne,,1,1,10,0.188064,0.205482,0,1
aves_aa_4R_auth_0235,"hug, johanns, pfaffe",,personne,,2,2,8,0.2129,0.232296,144.174991,1
aves_aa_4R_auth_0236,"pfluger, ottemann",,personne,,2,2,8,0.222598,0.240374,317.008576,1
aves_aa_4R_auth_0237,"kutteltzheim, michel",,personne,,1,1,10,0.188064,0.205482,0,1
aves_aa_4R_auth_0238,"betscholt, johanns",,personne,2.0,13,13,8,0.262264,0.297416,12960.4637,3
aves_aa_4R_auth_0239,"meiger, jeckel",,personne,,2,2,8,0.202953,0.223483,73.208764,1
aves_aa_4R_auth_0240,"göffde, von, claus",,personne,,4,4,8,0.230048,0.252748,718.171244,1
aves_aa_4R_auth_0241,"arner, heinrich",,personne,,2,2,8,0.23141,0.246838,261.45189,1
aves_aa_4R_auth_0242,"wild, küntz",,personne,,4,4,8,0.239288,0.260494,968.932845,1
aves_aa_4R_auth_0243,"meiger, heinrich",,personne,,1,1,10,0.191519,0.209519,0,1
aves_aa_4R_auth_0244,"wilgen, zur, jacob",,personne,,2,2,8,0.204078,0.224411,46.696768,1
