Id,Label,fonction,cluster
aves_aa_4R_auth_0151,"gast, ludwig",personne,
aves_aa_4R_auth_0152,"schrotbanck, konrat",personne,4.0
aves_aa_4R_auth_0153,"lumbart, johanns",personne,
aves_aa_4R_auth_0154,"oberkirch, von, claus",personne,
aves_aa_4R_auth_0155,"rhinau, ottemann",personne,
aves_aa_4R_auth_0156,"rotenschilt, zum, wolff",personne,
aves_aa_4R_auth_0157,"walther, sankt-thoman",personne,4.0
aves_aa_4R_auth_0158,"marlen, peter",personne,
aves_aa_4R_auth_0159,"pfaffenhoffen, johanns, haffener",personne,
aves_aa_4R_auth_0160,"voltz, claus",personne,
aves_aa_4R_auth_0161,"nordhausen, johanns",personne,
aves_aa_4R_auth_0162,"colmar, von, bechtolt",personne,
aves_aa_4R_auth_0163,"werde, claus",personne,
aves_aa_4R_auth_0164,"beildeck, jeckel",personne,
aves_aa_4R_auth_0165,"düpigheim, johanns",personne,
aves_aa_4R_auth_0166,schweicker,personne,
aves_aa_4R_auth_0167,"bader, johanns, krutenau, in",personne,
aves_aa_4R_auth_0168,"dreitzehn, hug, der junge",personne,
aves_aa_4R_auth_0169,"hohenhaus, zum, claus, steinstrasse, an der",personne,
aves_aa_4R_auth_0170,"herrhorn, zum, thoman",personne,
aves_aa_4R_auth_0171,"mommenheim, von, johanns",personne,
aves_aa_4R_auth_0172,"seltz, von, johanns",personne,
aves_aa_4R_auth_0173,"armbruster, konrat, brantgasse, in",personne,4.0
aves_aa_4R_auth_0174,"mahler, hermann",personne,
aves_aa_4R_auth_0175,"bere, hensel",personne,
aves_aa_4R_auth_0176,"hertzog, johanns",personne,
aves_aa_4R_auth_0177,"gauch, johanns",personne,
aves_aa_4R_auth_0178,"scherer, rudolff, rossmarkt, am",personne,
aves_aa_4R_auth_0179,"renner, diebolt",personne,2.0
aves_aa_4R_auth_0180,"wachsmann, zum, fritsch",personne,
aves_aa_4R_auth_0181,"dreitzehn, reimbolt",personne,
aves_aa_4R_auth_0182,"burkhart, riffe",personne,
aves_aa_4R_auth_0183,"martin, johanns",personne,
aves_aa_4R_auth_0184,"meister, heintz",personne,
aves_aa_4R_auth_0185,"zirtzer, ulrich",personne,
aves_aa_4R_auth_0186,"bidermann, johanns, schwenner, zum",personne,
aves_aa_4R_auth_0187,"sturm, johanns",personne,
aves_aa_4R_auth_0188,"villinger, peter",personne,2.0
aves_aa_4R_auth_0189,"schwert, johanns",personne,
aves_aa_4R_auth_0190,"wasselnheim, von, johanns",personne,
aves_aa_4R_auth_0191,"haslach von, peter",personne,
aves_aa_4R_auth_0192,"merckwiller, küntz",personne,
aves_aa_4R_auth_0193,"frankenheim, ottemann",personne,2.0
aves_aa_4R_auth_0194,"müntzer, burkhart",personne,
aves_aa_4R_auth_0195,"brüchelin, hansekint",personne,
aves_aa_4R_auth_0196,"flach, johanns",personne,
aves_aa_4R_auth_0197,"blumenstein, johanns",personne,
aves_aa_4R_auth_0198,"burkhart, heintz",personne,
aves_aa_4R_auth_0199,"spitznagel, johanns",personne,
aves_aa_4R_auth_0200,"wibolsheim, johanns",personne,
aves_aa_4R_auth_0201,"hermann, jacob",personne,
aves_aa_4R_auth_0202,"berse, johanns",personne,
aves_aa_4R_auth_0203,"sprenger, claus",personne,
aves_aa_4R_auth_0204,"kacheler, anthenie",personne,
aves_aa_4R_auth_0205,"armbruster, johanns",personne,
aves_aa_4R_auth_0206,"kerb, johanns",personne,
aves_aa_4R_auth_0207,"kenen, zur, jeckel",personne,
aves_aa_4R_auth_0208,"schmalriem, andres",personne,4.0
aves_aa_4R_auth_0209,"zender, johanns",personne,
aves_aa_4R_auth_0210,"mannertrieb, diebolt",personne,
aves_aa_4R_auth_0211,"mentzer, johanns",personne,
aves_aa_4R_auth_0212,"seiler, ruhlemann",personne,
aves_aa_4R_auth_0213,"tuchscherer, ottemann",personne,
aves_aa_4R_auth_0214,"voltz, ",personne,
aves_aa_4R_auth_0215,"willgottheim, johanns",personne,
aves_aa_4R_auth_0216,"epfig, von, hannemann",personne,
aves_aa_4R_auth_0217,"meiger, claus",personne,
aves_aa_4R_auth_0218,"jeckelin, symont",personne,
aves_aa_4R_auth_0219,"rawensburg, johanns",personne,
aves_aa_4R_auth_0220,"kriegsheim, von, johanns, stacheler",personne,
aves_aa_4R_auth_0221,"brüchelin, claus, der junge",personne,
aves_aa_4R_auth_0222,"saltzmütter, dietrich",personne,4.0
aves_aa_4R_auth_0223,"wurant, rudolff",personne,
aves_aa_4R_auth_0224,"lampertheim, von, peter",personne,0.0
aves_aa_4R_auth_0225,"brucker, peter",personne,4.0
aves_aa_4R_auth_0226,"nussmann, peter",personne,
aves_aa_4R_auth_0227,"heimburg, küntz",personne,
aves_aa_4R_auth_0228,"gerbot, claus",personne,
aves_aa_4R_auth_0229,"dannenfels, johanns",personne,
aves_aa_4R_auth_0230,"stoltz, peter",personne,
aves_aa_4R_auth_0231,"spirer, claus",personne,
aves_aa_4R_auth_0232,"kenen, zur, jacob",personne,
aves_aa_4R_auth_0233,"harnescher, blesin",personne,
aves_aa_4R_auth_0234,"bock, ludwig",personne,
aves_aa_4R_auth_0235,"hug, johanns, pfaffe",personne,
aves_aa_4R_auth_0236,"pfluger, ottemann",personne,
aves_aa_4R_auth_0237,"kutteltzheim, michel",personne,
aves_aa_4R_auth_0238,"betscholt, johanns",personne,2.0
aves_aa_4R_auth_0239,"meiger, jeckel",personne,
aves_aa_4R_auth_0240,"göffde, von, claus",personne,
aves_aa_4R_auth_0241,"arner, heinrich",personne,
aves_aa_4R_auth_0242,"wild, küntz",personne,
aves_aa_4R_auth_0243,"meiger, heinrich",personne,
aves_aa_4R_auth_0244,"wilgen, zur, jacob",personne,
aves_aa_4R_auth_0245,"flöss, heintz",personne,4.0
aves_aa_4R_auth_0246,"roser, heintz",personne,
aves_aa_4R_auth_0247,"ingenheim, küntz",personne,
aves_aa_4R_auth_0248,"dolde, bechtolt",personne,
aves_aa_4R_auth_0249,"wernher, claus",personne,
aves_aa_4R_auth_0250,"giger, claus",personne,
aves_aa_4R_auth_0251,"reichwein, walther",personne,
aves_aa_4R_auth_0252,"kerling, claus",personne,
aves_aa_4R_auth_0253,"renner, johanns, der junge",personne,4.0
aves_aa_4R_auth_0254,"vetter, claus",personne,4.0
aves_aa_4R_auth_0255,"schnipper, claus",personne,
aves_aa_4R_auth_0256,"arnolt, konrat",personne,4.0
aves_aa_4R_auth_0257,"siffermann, riffe",personne,
aves_aa_4R_auth_0258,"rhinau, johanns",personne,
aves_aa_4R_auth_0259,"klein, dietrich",personne,
aves_aa_4R_auth_0260,"müntzenberg, heinrich",personne,
aves_aa_4R_auth_0261,"spete, johanns",personne,3.0
aves_aa_4R_auth_0262,"schluch, im, johanns, schluch, im",personne,1.0
